fecha,tasa_desempleo
40238,9.2
40269,8.8
40299,9.1
40330,8.7
40360,8.5
40391,8.4
40422,8.1
40452,7.8
40483,7.2
40513,7.2
40544,7.4
40575,7.4
40603,7.5
40634,7.2
40664,7.3
40695,7.2
40725,7.6
40756,7.5
40787,7.6
40817,7.4
40848,7.3
40878,6.8
40909,6.9
40940,6.5
40969,6.8
41000,6.8
41030,6.9
41061,6.8
41091,6.7
41122,6.5
41153,6.6
41183,6.7
41214,6.4
41244,6.2
41275,6.1
41306,6.4
41334,6.4
41365,6.5
41395,6.5
41426,6.3
41456,5.9
41487,5.8
41518,5.9
41548,6.0
41579,5.9
41609,5.8
41640,6.2
41671,6.2
41699,6.5
41730,6.1
41760,6.3
41791,6.5
41821,6.6
41852,6.8
41883,6.8
41913,6.6
41944,6.2
41974,6.2
42005,6.2
42036,6.2
42064,6.2
42095,6.4
42125,6.8
42156,6.7
42186,6.7
42217,6.6
42248,6.5
42278,6.4
42309,6.2
42339,5.9
42370,5.9
42401,6.0
42430,6.5
42461,6.6
42491,7.0
42522,7.0
42552,7.3
42583,7.1
42614,7.0
42644,6.7
42675,6.4
42705,6.2
42736,6.4
42767,6.8
42795,7.0
42826,7.1
42856,7.3
42887,7.3
42917,7.2
42948,6.9
42979,7.0
43009,7.0
43040,6.7
43070,6.5
43101,6.8
43132,7.0
43160,7.4
43191,7.0
43221,7.4
43252,7.5
43282,7.9
43313,7.7
43344,7.5
43374,7.4
43405,7.3
43435,7.1
43466,7.1
43497,7.0
43525,7.2
43556,7.1
43586,7.2
43617,7.3
43647,7.5
43678,7.6
43709,7.3
43739,7.1
43770,7.0
43800,7.1
43831,7.4
43862,7.8
43891,8.2
43922,9.0
43952,11.2
43983,12.2
44013,13.1
44044,12.9
44075,12.3
44105,11.6
44136,10.8
44166,10.3
44197,10.2
44228,10.3
44256,10.4
44287,10.2
44317,10.0
44348,9.5
44378,8.9
44409,8.5
44440,8.4
44470,8.1
44501,7.5
44531,7.2
44562,7.3
44593,7.5
44621,7.8
44652,7.7
44682,7.8
44713,7.8
44743,7.9
44774,7.9
44805,8.0
44835,8.0
44866,7.9
44896,7.9
44927,8.0
44958,8.4
44986,8.8
45017,8.7
45047,8.5
45078,8.5
45108,8.8
45139,9.0
45170,8.9
45200,8.9
45231,8.7
45261,8.5
45292,8.4
45323,8.5
45352,8.7
45383,8.5
45413,8.3
45444,8.3
45474,8.7
45505,8.9
45536,8.7
45566,8.6
45597,8.2
45627,8.1
45658,8.0
45689,8.4
45717,8.7
45748,8.8
45778,8.9
45809,8.9
45839,8.7
45870,8.6
45901,8.5
45931,8.4
